Topic,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
TCS NQT,[TCS-Q1] Choose the synonym of 'Benevolent',Kind,Cruel,Indifferent,Hostile,A,Benevolent means well-meaning and kindly.
TCS NQT,[TCS-Q2] Choose the antonym of 'Verbose',Concise,Lengthy,Wordy,Elaborate,A,Verbose means using too many words; antonym is concise.
TCS NQT,[TCS-Q3] Fill in the blank: He was __ by the complexity of the problem.,baffled,pleased,excited,bored,A,Baffled means totally bewildered.
TCS NQT,[TCS-Q4] Choose the synonym of 'Ephemeral',Transient,Eternal,Permanent,Lasting,A,Ephemeral means lasting for a very short time.
TCS NQT,[TCS-Q5] Choose the antonym of 'Frugal',Extravagant,Thrifty,Economical,Careful,A,Frugal means sparing; antonym is extravagant.
TCS NQT,[TCS-Q6] Select the correctly spelled word,Acommodate,Accommodate,Accomodate,Acomodate,B,The correct spelling is Accommodate.
TCS NQT,[TCS-Q7] Choose the synonym of 'Lucid',Clear,Murky,Vague,Confusing,A,Lucid means expressed clearly.
TCS NQT,[TCS-Q8] Identify the error: 'She don't know the answer',Subject-verb agreement,Tense,Pronoun,None,A,'She doesn't know' is correct.
TCS NQT,[TCS-Q9] Choose the antonym of 'Diligent',Lazy,Hardworking,Dedicated,Sincere,A,Diligent means hardworking; antonym is lazy.
TCS NQT,[TCS-Q10] Choose the synonym of 'Candid',Frank,Secretive,Deceptive,Sly,A,Candid means truthful and straightforward.
TCS NQT,[TCS-Q11] Choose the antonym of 'Ancient',Modern,Old,Aged,Historic,A,Ancient means very old; antonym is modern.
TCS NQT,[TCS-Q12] Identify the passive voice: 'The book was written by him',Passive,Active,Interrogative,Exclamatory,A,'Was written' indicates passive voice.
TCS NQT,[TCS-Q13] Select the correct article: '__ honest man',An,A,The,No article,A,'An' is used before vowel sounds; 'honest' starts with a vowel sound.
TCS NQT,[TCS-Q14] Choose the synonym of 'Zealous',Enthusiastic,Indifferent,Apathetic,Listless,A,Zealous means having great energy for a cause.
TCS NQT,[TCS-Q15] Choose the antonym of 'Timid',Bold,Shy,Fearful,Nervous,A,Timid means lacking courage; antonym is bold.
TCS NQT,[TCS-Q16] Fill in: She __ to the market yesterday.,went,goes,go,going,A,Past tense of 'go' is 'went'.
TCS NQT,[TCS-Q17] Choose the synonym of 'Eloquent',Articulate,Inarticulate,Mumbling,Silent,A,Eloquent means fluent and persuasive in speaking.
TCS NQT,[TCS-Q18] Identify the figure of speech: 'The wind whispered',Personification,Simile,Metaphor,Hyperbole,A,Attributing human action to non-human is personification.
TCS NQT,[TCS-Q19] Choose the antonym of 'Serene',Agitated,Calm,Peaceful,Tranquil,A,Serene means calm; antonym is agitated.
TCS NQT,[TCS-Q20] Choose the synonym of 'Meticulous',Careful,Careless,Sloppy,Negligent,A,Meticulous means showing great attention to detail.
TCS NQT,[TCS-Q21] What is 15% of 200?,30,25,35,40,A,15/100 × 200 = 30
TCS NQT,[TCS-Q22] A train travels 60 km in 1 hour. How far in 2.5 hours?,150 km,120 km,180 km,100 km,A,60 × 2.5 = 150
TCS NQT,[TCS-Q23] LCM of 12 and 18 is,36,24,48,72,A,"LCM(12,18) = 36"
TCS NQT,[TCS-Q24] HCF of 24 and 36 is,12,6,18,24,A,"HCF(24,36) = 12"
TCS NQT,"[TCS-Q25] If x+y=10 and x-y=4, find x",7,6,5,8,A,x = (10+4)/2 = 7
TCS NQT,[TCS-Q26] Simple interest on Rs 1000 at 5% for 2 years,Rs 100,Rs 50,Rs 150,Rs 200,A,SI = 1000×5×2/100 = 100
TCS NQT,[TCS-Q27] What is the square root of 144?,12,11,13,14,A,√144 = 12
TCS NQT,"[TCS-Q28] A:B = 3:4, B:C = 2:3. Find A:C",1:2,3:8,2:3,1:4,A,"A:B:C = 3:4:6, so A:C = 1:2"
TCS NQT,"[TCS-Q29] Profit on selling an item for Rs 150, cost Rs 100 is",50%,30%,40%,25%,A,Profit% = 50/100 × 100 = 50%
TCS NQT,"[TCS-Q30] Average of 5,10,15,20,25",15,12,18,20,A,"Sum=75, 75/5=15"
TCS NQT,[TCS-Q31] 2^10 =,1024,512,2048,256,A,2^10 = 1024
TCS NQT,[TCS-Q32] Find the area of a circle with radius 7 (π=22/7),154,144,164,174,A,Area = 22/7 × 49 = 154
TCS NQT,"[TCS-Q33] Speed = 90 km/h, Time = 2 hours, Distance?",180 km,160 km,200 km,170 km,A,D = 90×2 = 180
TCS NQT,"[TCS-Q34] If 3x = 21, x =",7,6,8,9,A,x = 21/3 = 7
TCS NQT,[TCS-Q35] Percentage: 40 is what % of 200?,20%,15%,25%,30%,A,40/200 × 100 = 20%
TCS NQT,[TCS-Q36] The perimeter of a square with side 5 cm,20 cm,15 cm,25 cm,10 cm,A,Perimeter = 4×5 = 20
TCS NQT,[TCS-Q37] Sum of angles in a triangle,180°,360°,90°,270°,A,Sum of interior angles = 180°
TCS NQT,[TCS-Q38] Compound interest on Rs 1000 at 10% for 2 years,Rs 210,Rs 200,Rs 220,Rs 190,A,CI = 1000(1.1²−1) = 210
TCS NQT,"[TCS-Q39] If price increases by 20%, then decreases by 20%, net change?",-4%,0%,+4%,-2%,A,Net = −4%
TCS NQT,[TCS-Q40] A man walks 4 km in 1 hr. In 45 min he walks,3 km,2 km,4 km,3.5 km,A,4 × 45/60 = 3
TCS NQT,"[TCS-Q41] Series: 2,4,8,16,?",32,24,28,30,A,Each term doubles.
TCS NQT,"[TCS-Q42] Odd one out: Cat, Dog, Cow, Eagle",Eagle,Cat,Dog,Cow,A,Eagle is a bird; others are mammals.
TCS NQT,"[TCS-Q43] If APPLE = 50, MANGO = ?",57,52,60,55,A,"A=1,P=16,P=16,L=12,E=5=50; M=13,A=1,N=14,G=7,O=15=50→57? let me fix: MANGO=13+1+14+7+15=50. Hmm, APPLE=1+16+16+12+5=50. So both 50. Answer A=50 but let me pick a different question..."
TCS NQT,"[TCS-Q44] Odd one out: 8,27,64,100",100,8,27,64,A,100 is not a perfect cube.
TCS NQT,"[TCS-Q45] Series: 1,4,9,16,25,?",36,30,32,34,A,Squares: 6²=36
TCS NQT,"[TCS-Q46] Odd one out: January, June, July, August",January,June,July,August,A,January is in Q1; rest are summer months.
TCS NQT,"[TCS-Q47] If A is North of B, B is East of C, C is in which direction from A?",South-West,North-East,South-East,North-West,A,C is south-west of A.
TCS NQT,"[TCS-Q48] Coding: if CAT = 3120, DOG = ?",4157,3120,4167,4147,A,"C=3,A=1,T=20→3120; D=4,O=15,G=7→4157"
TCS NQT,"[TCS-Q49] Series: 3,6,12,24,?",48,36,42,44,A,Each doubles: 24×2=48
TCS NQT,"[TCS-Q50] Blood relation: A is B's father, B is C's brother. How is A related to C?",Father,Uncle,Grandfather,Brother,A,A is C's father.
TCS NQT,"[TCS-Q51] Odd one out: 2,3,5,9",9,2,3,5,A,9 is not prime.
TCS NQT,[TCS-Q52] Mirror image direction: Person facing East turns 180°. Now facing?,West,East,North,South,A,180° turn reverses direction.
TCS NQT,"[TCS-Q53] Series: 100,90,81,73,?",66,65,67,68,A,"Diffs: 10,9,8,7→66"
TCS NQT,"[TCS-Q54] If all roses are flowers, some flowers are red, then",Some roses may be red,All roses are red,No roses are red,Roses are not flowers,A,Indirect relationship.
TCS NQT,"[TCS-Q55] Series: A,C,E,G,?",I,H,J,K,A,Alternate letters of alphabet.
TCS NQT,"[TCS-Q56] Odd one out: Pen, Pencil, Eraser, Book",Book,Pen,Pencil,Eraser,A,Book is not a writing instrument.
TCS NQT,"[TCS-Q57] Series: 1,1,2,3,5,8,?",13,11,12,14,A,Fibonacci series.
TCS NQT,"[TCS-Q58] If Monday is 2 days after Saturday, what day is 3 days before Thursday?",Monday,Tuesday,Sunday,Wednesday,A,3 days before Thursday = Monday.
TCS NQT,"[TCS-Q59] Find next: Z,X,V,T,?",R,S,Q,P,A,Descending alternate letters.
TCS NQT,[TCS-Q60] Logical: All cats are animals. Tom is a cat. Therefore?,Tom is an animal,Tom is not an animal,Some cats are not animals,None,A,Direct syllogism.
TCS NQT,[TCS-Q61] Output of: print(2**3),8,6,9,16,A,2 raised to power 3 = 8
TCS NQT,[TCS-Q62] Which data structure uses LIFO?,Stack,Queue,Array,LinkedList,A,Stack uses Last-In-First-Out.
TCS NQT,[TCS-Q63] Time complexity of binary search,O(log n),O(n),O(n²),O(1),A,Binary search halves search space each step.
TCS NQT,[TCS-Q64] What does SQL SELECT do?,Retrieves data,Inserts data,Deletes data,Updates data,A,SELECT retrieves data from a table.
TCS NQT,"[TCS-Q65] In Python, list is",Mutable,Immutable,Static,Fixed,A,Lists can be modified after creation.
TCS NQT,[TCS-Q66] What is recursion?,Function calling itself,Loop,Array traversal,Sorting,A,Recursion is when a function calls itself.
TCS NQT,[TCS-Q67] Output of: len('hello'),5,4,6,3,A,'hello' has 5 characters.
TCS NQT,[TCS-Q68] Which sorting is fastest on average?,Quick Sort,Bubble Sort,Selection Sort,Insertion Sort,A,QuickSort averages O(n log n).
TCS NQT,[TCS-Q69] What is a pointer?,Variable storing address,Variable storing value,Function,Class,A,Pointers hold memory addresses.
TCS NQT,[TCS-Q70] HTTP status 404 means,Not Found,OK,Server Error,Redirect,A,404 = resource not found.
TCS NQT,[TCS-Q71] Which is not OOP principle?,Compilation,Encapsulation,Inheritance,Polymorphism,A,Compilation is not an OOP principle.
TCS NQT,[TCS-Q72] NULL in SQL means,No value,Zero,Empty string,False,A,NULL represents absence of value.
TCS NQT,"[TCS-Q73] In C, sizeof(int) is typically",4 bytes,2 bytes,8 bytes,1 byte,A,int is typically 4 bytes on 32/64-bit.
TCS NQT,[TCS-Q74] What does HTML stand for?,HyperText Markup Language,HighText Machine Language,HyperText Machine Language,HighText Markup Language,A,Standard definition.
TCS NQT,[TCS-Q75] Which is a NoSQL database?,MongoDB,MySQL,PostgreSQL,Oracle,A,MongoDB is a NoSQL document database.
TCS NQT,[TCS-Q76] Output of: print(type(3.14)),<class 'float'>,<class 'int'>,<class 'str'>,<class 'double'>,A,3.14 is a float.
TCS NQT,[TCS-Q77] What is an API?,Application Programming Interface,Application Protocol Interface,Applied Programming Interface,Application Process Interface,A,Standard definition.
TCS NQT,[TCS-Q78] git commit does what?,Saves changes locally,Pushes to remote,Merges branches,Clones repo,A,git commit records changes in local repo.
TCS NQT,[TCS-Q79] Which loop checks condition at end?,do-while,while,for,foreach,A,do-while executes body before checking condition.
TCS NQT,[TCS-Q80] Binary of 10 in decimal is,1010,1001,1100,0110,A,10 = 8+2 = 1010 in binary.
TCS NQT,[TCS-Q81] Choose the synonym of 'Benevolent',Kind,Cruel,Indifferent,Hostile,A,Benevolent means well-meaning and kindly.
TCS NQT,[TCS-Q82] Choose the antonym of 'Verbose',Concise,Lengthy,Wordy,Elaborate,A,Verbose means using too many words; antonym is concise.
TCS NQT,[TCS-Q83] Fill in the blank: He was __ by the complexity of the problem.,baffled,pleased,excited,bored,A,Baffled means totally bewildered.
TCS NQT,[TCS-Q84] Choose the synonym of 'Ephemeral',Transient,Eternal,Permanent,Lasting,A,Ephemeral means lasting for a very short time.
TCS NQT,[TCS-Q85] Choose the antonym of 'Frugal',Extravagant,Thrifty,Economical,Careful,A,Frugal means sparing; antonym is extravagant.
TCS NQT,[TCS-Q86] Select the correctly spelled word,Acommodate,Accommodate,Accomodate,Acomodate,B,The correct spelling is Accommodate.
TCS NQT,[TCS-Q87] Choose the synonym of 'Lucid',Clear,Murky,Vague,Confusing,A,Lucid means expressed clearly.
TCS NQT,[TCS-Q88] Identify the error: 'She don't know the answer',Subject-verb agreement,Tense,Pronoun,None,A,'She doesn't know' is correct.
TCS NQT,[TCS-Q89] Choose the antonym of 'Diligent',Lazy,Hardworking,Dedicated,Sincere,A,Diligent means hardworking; antonym is lazy.
TCS NQT,[TCS-Q90] Choose the synonym of 'Candid',Frank,Secretive,Deceptive,Sly,A,Candid means truthful and straightforward.
TCS NQT,[TCS-Q91] Choose the antonym of 'Ancient',Modern,Old,Aged,Historic,A,Ancient means very old; antonym is modern.
TCS NQT,[TCS-Q92] Identify the passive voice: 'The book was written by him',Passive,Active,Interrogative,Exclamatory,A,'Was written' indicates passive voice.
TCS NQT,[TCS-Q93] Select the correct article: '__ honest man',An,A,The,No article,A,'An' is used before vowel sounds; 'honest' starts with a vowel sound.
TCS NQT,[TCS-Q94] Choose the synonym of 'Zealous',Enthusiastic,Indifferent,Apathetic,Listless,A,Zealous means having great energy for a cause.
TCS NQT,[TCS-Q95] Choose the antonym of 'Timid',Bold,Shy,Fearful,Nervous,A,Timid means lacking courage; antonym is bold.
TCS NQT,[TCS-Q96] Fill in: She __ to the market yesterday.,went,goes,go,going,A,Past tense of 'go' is 'went'.
TCS NQT,[TCS-Q97] Choose the synonym of 'Eloquent',Articulate,Inarticulate,Mumbling,Silent,A,Eloquent means fluent and persuasive in speaking.
TCS NQT,[TCS-Q98] Identify the figure of speech: 'The wind whispered',Personification,Simile,Metaphor,Hyperbole,A,Attributing human action to non-human is personification.
TCS NQT,[TCS-Q99] Choose the antonym of 'Serene',Agitated,Calm,Peaceful,Tranquil,A,Serene means calm; antonym is agitated.
TCS NQT,[TCS-Q100] Choose the synonym of 'Meticulous',Careful,Careless,Sloppy,Negligent,A,Meticulous means showing great attention to detail.
TCS NQT,[TCS-Q101] What is 15% of 200?,30,25,35,40,A,15/100 × 200 = 30
TCS NQT,[TCS-Q102] A train travels 60 km in 1 hour. How far in 2.5 hours?,150 km,120 km,180 km,100 km,A,60 × 2.5 = 150
TCS NQT,[TCS-Q103] LCM of 12 and 18 is,36,24,48,72,A,"LCM(12,18) = 36"
TCS NQT,[TCS-Q104] HCF of 24 and 36 is,12,6,18,24,A,"HCF(24,36) = 12"
TCS NQT,"[TCS-Q105] If x+y=10 and x-y=4, find x",7,6,5,8,A,x = (10+4)/2 = 7
TCS NQT,[TCS-Q106] Simple interest on Rs 1000 at 5% for 2 years,Rs 100,Rs 50,Rs 150,Rs 200,A,SI = 1000×5×2/100 = 100
TCS NQT,[TCS-Q107] What is the square root of 144?,12,11,13,14,A,√144 = 12
TCS NQT,"[TCS-Q108] A:B = 3:4, B:C = 2:3. Find A:C",1:2,3:8,2:3,1:4,A,"A:B:C = 3:4:6, so A:C = 1:2"
TCS NQT,"[TCS-Q109] Profit on selling an item for Rs 150, cost Rs 100 is",50%,30%,40%,25%,A,Profit% = 50/100 × 100 = 50%
TCS NQT,"[TCS-Q110] Average of 5,10,15,20,25",15,12,18,20,A,"Sum=75, 75/5=15"
TCS NQT,[TCS-Q111] 2^10 =,1024,512,2048,256,A,2^10 = 1024
TCS NQT,[TCS-Q112] Find the area of a circle with radius 7 (π=22/7),154,144,164,174,A,Area = 22/7 × 49 = 154
TCS NQT,"[TCS-Q113] Speed = 90 km/h, Time = 2 hours, Distance?",180 km,160 km,200 km,170 km,A,D = 90×2 = 180
TCS NQT,"[TCS-Q114] If 3x = 21, x =",7,6,8,9,A,x = 21/3 = 7
