Topic,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
TCS NQT,[TCS-Q1] Choose the synonym of 'Benevolent',Kind,Hostile,Cruel,Indifferent,A,Benevolent means well-meaning and kindly.
TCS NQT,[TCS-Q2] Choose the antonym of 'Verbose',Lengthy,Wordy,Elaborate,Concise,D,Verbose means using too many words; antonym is concise.
TCS NQT,[TCS-Q3] Fill in the blank: He was __ by the complexity of the problem.,excited,bored,baffled,pleased,C,Baffled means totally bewildered.
TCS NQT,[TCS-Q4] Choose the synonym of 'Ephemeral',Permanent,Eternal,Transient,Lasting,C,Ephemeral means lasting for a very short time.
TCS NQT,[TCS-Q5] Choose the antonym of 'Frugal',Economical,Extravagant,Thrifty,Careful,B,Frugal means sparing; antonym is extravagant.
TCS NQT,[TCS-Q6] Select the correctly spelled word,Accommodate,Acommodate,Accomodate,Acomodate,A,The correct spelling is Accommodate.
TCS NQT,[TCS-Q7] Choose the synonym of 'Lucid',Confusing,Clear,Murky,Vague,B,Lucid means expressed clearly.
TCS NQT,[TCS-Q8] Identify the error: 'She don't know the answer',Tense,Subject-verb agreement,Pronoun,Conjunction error,B,'She doesn't know' is correct.
TCS NQT,[TCS-Q9] Choose the antonym of 'Diligent',Lazy,Dedicated,Hardworking,Sincere,A,Diligent means hardworking; antonym is lazy.
TCS NQT,[TCS-Q10] Choose the synonym of 'Candid',Deceptive,Frank,Secretive,Sly,B,Candid means truthful and straightforward.
TCS NQT,[TCS-Q11] Choose the antonym of 'Ancient',Historic,Old,Modern,Aged,C,Ancient means very old; antonym is modern.
TCS NQT,[TCS-Q12] Identify the passive voice: 'The book was written by him',Exclamatory,Passive,Active,Interrogative,B,'Was written' indicates passive voice.
TCS NQT,[TCS-Q13] Select the correct article: '__ honest man',No article,The,A,An,D,'An' is used before vowel sounds; 'honest' starts with a vowel sound.
TCS NQT,[TCS-Q14] Choose the synonym of 'Zealous',Listless,Indifferent,Apathetic,Enthusiastic,D,Zealous means having great energy for a cause.
TCS NQT,[TCS-Q15] Choose the antonym of 'Timid',Fearful,Shy,Bold,Nervous,C,Timid means lacking courage; antonym is bold.
TCS NQT,[TCS-Q16] Fill in: She __ to the market yesterday.,go,going,goes,went,D,Past tense of 'go' is 'went'.
TCS NQT,[TCS-Q17] Choose the synonym of 'Eloquent',Silent,Mumbling,Articulate,Inarticulate,C,Eloquent means fluent and persuasive in speaking.
TCS NQT,[TCS-Q18] Identify the figure of speech: 'The wind whispered',Metaphor,Simile,Personification,Hyperbole,C,Attributing human action to non-human is personification.
TCS NQT,[TCS-Q19] Choose the antonym of 'Serene',Peaceful,Tranquil,Agitated,Calm,C,Serene means calm; antonym is agitated.
TCS NQT,[TCS-Q20] Choose the synonym of 'Meticulous',Careful,Sloppy,Careless,Negligent,A,Meticulous means showing great attention to detail.
TCS NQT,[TCS-Q21] What is 15% of 200?,35,25,30,40,C,15/100 × 200 = 30
TCS NQT,[TCS-Q22] A train travels 60 km in 1 hour. How far in 2.5 hours?,100 km,150 km,120 km,180 km,B,60 × 2.5 = 150
TCS NQT,[TCS-Q23] LCM of 12 and 18 is,72,48,24,36,D,"LCM(12,18) = 36"
TCS NQT,[TCS-Q24] HCF of 24 and 36 is,24,18,6,12,D,"HCF(24,36) = 12"
TCS NQT,"[TCS-Q25] If x+y=10 and x-y=4, find x",7,5,8,6,A,x = (10+4)/2 = 7
TCS NQT,[TCS-Q26] Simple interest on Rs 1000 at 5% for 2 years,Rs 200,Rs 50,Rs 150,Rs 100,D,SI = 1000×5×2/100 = 100
TCS NQT,[TCS-Q27] What is the square root of 144?,11,14,13,12,D,√144 = 12
TCS NQT,"[TCS-Q28] A:B = 3:4, B:C = 2:3. Find A:C",3:8,1:2,1:4,2:3,B,"A:B:C = 3:4:6, so A:C = 1:2"
TCS NQT,"[TCS-Q29] Profit on selling an item for Rs 150, cost Rs 100 is",25%,40%,50%,30%,C,Profit% = 50/100 × 100 = 50%
TCS NQT,"[TCS-Q30] Average of 5,10,15,20,25",12,15,20,18,B,"Sum=75, 75/5=15"
TCS NQT,[TCS-Q31] 2^10 =,2048,256,1024,512,C,2^10 = 1024
TCS NQT,[TCS-Q32] Find the area of a circle with radius 7 (π=22/7),164,174,144,154,D,Area = 22/7 × 49 = 154
TCS NQT,"[TCS-Q33] Speed = 90 km/h, Time = 2 hours, Distance?",170 km,180 km,160 km,200 km,B,D = 90×2 = 180
TCS NQT,"[TCS-Q34] If 3x = 21, x =",7,8,9,6,A,x = 21/3 = 7
TCS NQT,[TCS-Q35] Percentage: 40 is what % of 200?,30%,15%,25%,20%,D,40/200 × 100 = 20%
TCS NQT,[TCS-Q36] The perimeter of a square with side 5 cm,15 cm,25 cm,20 cm,10 cm,C,Perimeter = 4×5 = 20
TCS NQT,[TCS-Q37] Sum of angles in a triangle,90°,180°,270°,360°,B,Sum of interior angles = 180°
TCS NQT,[TCS-Q38] Compound interest on Rs 1000 at 10% for 2 years,Rs 220,Rs 210,Rs 200,Rs 190,B,CI = 1000(1.1²−1) = 210
TCS NQT,"[TCS-Q39] If price increases by 20%, then decreases by 20%, net change?",-4%,0%,+4%,-2%,A,Net = −4%
TCS NQT,[TCS-Q40] A man walks 4 km in 1 hr. In 45 min he walks,2 km,4 km,3 km,3.5 km,C,4 × 45/60 = 3
TCS NQT,"[TCS-Q41] Series: 2,4,8,16,?",28,24,30,32,D,Each term doubles.
TCS NQT,"[TCS-Q42] Odd one out: Cat, Dog, Cow, Eagle",Eagle,Cat,Cow,Dog,A,Eagle is a bird; others are mammals.
